ir;eng;used
abair;to say;1
achainigh;to entreat (to request earnestly);0
achoimrigh;to recap/recapitulate/summarise;1
adhair;to adore/worship;1
adharcáil;to gore;0
adhlaic;to bury;0
admhaigh;to admit;0
aeráil;to air (as in to air a room);0
agair;to beg/sue;0
aibigh;to ripen;0
aicmigh;to classify;1
aifir;to rebuke;0
aimridigh;to sterilise;0
aimsigh;to hit/locate;0
ainmnigh;to assign/name;0
airigh;to receive/calculate;0
aisghair;to repeal;0
aisig;to restore;1
aistarraing;to retract;0
aistrigh;to change;1
aisíoc;to refund/reimburse/repay;0
aithin;to recognise;1
áitigh;to argue;1
áitrigh;to inhabit;0
aithris;to recite;1
allmhairigh;to import;0
alp;to devour/gobble/scoff;1
anailísigh;to analyze;1
anluchtaigh;to overload;0
análaigh;to respire/aspirate/breathe;1
aontaigh;to concour/agree;1
ardaigh;to ascend/elevate/heighten/hoist/lift;1
aslonnaigh;to evacuate;1
athaimsigh;to relocate;1
athaontaigh;to reunite;0
athbheoigh;to resuscitate/revive;1
athbhreithnigh;to review;1
athbhunaigh;to re-establish, reconstitute;0
athchas;to rewind (as in a tape);0
athcheartaigh;to revise;0
athchomhairligh;to discourage;1
athchóirigh;to alter/recondition/refurbish/renovate/restore(building)/revamp/upgrade (house);0
athchúrsáil;to recycle;1
athdhearbhaigh;to reassure;0
athdheisigh;to refurbish;0
athdhéan;to redo;1
atheagraigh;to redeploy (resources);0
athghair;to recall;1
athghnóthaigh;to regain;0
athlonnaigh;to relocate;1
athlíon;to refill/replenish (glass);0
athnuaigh;to rejuvenate/renew;0
athobair;to repeat work;1
athoil;to retrain (worker);0
athphlandáil;to transplant;0
athraigh;to alter/change/vary;0
athroinn;to redeploy;0
athscag;to refine;1
athsheol;to redirect (mail);0
athsholáthair;to replace;1
athshreangaigh;to rewire;0
atosaigh;to renew/resume;0
atreoraigh;to divert;0
atáirg;to reproduce;0
atóg;to reconstruct (building);1
babhtáil;to barter;0
bac;to hinder/impede/thwart;0
bagair;to threaten;1
bailigh;to assemble/collect/gather;1
bain;to harvest/mow/reap/dig up (potatoes);0
baist;to baptise/christen;0
barrloisc;to singe;0
basc;to mangle/maul;0
batráil;to batter;0
bealaigh;to grease/lubricate;0
beannaigh;to bless;0
bearnaigh;to breach;1
bearr;to prune/shave;1
beartaigh;to contrive/scheme/wield (sword);0
beir;to grab;1
beirigh;to boil;1
beoigh;to liven-up;0
bioraigh;to sharpen;1
bladair;to cajole;0
bodhraigh;to deafen;0
bog;to budge/maneuver/relax(muscle)/soften;0
bolg;to distend(physiology)/bloat(agriculture);0
borr;to surge;0
braith;to betray/notice/perceive/detect/size-up/sound-out;0
breithnigh;to evaluate(factor);0
breoigh;to glow;0
bris;to break/fail(candidate)/overthrow/bring-down(government)/shatter - more;1
broid;to goad/nudge/prod;0
bronn;to donate;1
brostaigh;to hasten/precipitate;0
bruith;to bake;1
bréag;to lie/delude;1
bréagnaigh;to belie/contradict/disprove/rebut;0
bróidnigh;to embroider;0
brúigh;to hustle/mash/shove;0
buaigh;to win;1
buail;to flap/hit/knock/lick/thresh(agriculture)/toll(bell);0
buain;to reap;0
buair;to annoy;1
bunaigh;to establish/found/institute;0
bácáil;to bake;1
báigh;to drench/drown/plunge/sink(ship)/soak/swamp;1
bánaigh;to bleach(linen)/evacuate(place);1
bí;to be;1
cabhraigh;to assist;1
cailg;to bite;1
caill;to forfeit(lose)/miss/shed;1
cairt;to peel/tan/encrust;0
cairtfhostaigh;to charter(plane);0
caith;to cast(throw)/check(throw)/expend/fling/flip/hurl/toss/throw/wear;0
can / labhair;to speak;1
canbhasáil;to canvass;0
caoch;to daze/overwhelming(victory vi)/resounding(victory vi);0
caoin;to cry (vi)/mourne (vi)/weep(vi);1
caolaigh;to dilute/constrict;0
caomhnaigh;to conserve/preserve (keep safe);0
carn;to accumulate;1
cas;to twirl;0
ceadaigh;to allow/approve/let(practise/claim/goal);1
cealaigh;to annul/cancel/delete;0
cealg;to deceive;0
ceangail;to bind/fasten/hitch/teather;1
ceannaigh;to buy/purchase;1
ceap;to appoint/designate(to office)/devise;1
ceartaigh;to adjust(clock/scales/compass)/rectify(error)/rebuke/redress;0
ceiliúir;to celebrate(vi)/vanish;1
ceistigh;to interrogate/query/question/quiz;1
ciallaigh;to interpret;1
ciap;to annoy/besiege/harass/hound/plague/tease;1
ciceáil;to kick;1
cigil;to tickle;1
cinntigh;to assure/confirm/ensure;1
cionroinn;to allocate/distribute;0
ciorclaigh;to encircle;0
ciorraigh;to hack/maim/mangle;0
ciúnaigh;to becalm/hush/quell/sooth;0
clamhair;to maul;0
