cabinet (n)			caibinéad		
cafe/cafè (n) 			caifé 		
cafeteria (n) 			caifitéire		
cake (n) 			císte	cáca	
calendar (n) 			féilire		
call (n & v)			tabhair ar	glaoigh ar	
camel (n)			camall		
camera (n) 			ceamara		
camp (v) (activity, military)			campa		
camping (n) 			campáil		
campsite (n) 			áit champála		
cap (n) (headwear)			caipín	bairéad	
cap (n) (cover, top of wave, top of mushroom)			caipín		
cap (n) (top of mountain)			caidhp		
cap (n) (upper limit)			teorainn	srian	
capital (n) 			príomhchathair		
can (mv)			is féidir le	tig le	
can (n)			canna 		
candy (n)			milseáin		
car (n) (vehicle, of train)			carr		
card (n)			cárta		
career (n)			gairm		
careful (adj) (attentive, meticulous, cautious)			cúramach		
carefully (adv)			go cúramach		
car park			carrchlós		
carpet (n)			cairpéad		
carrot (n) 			cairéad	meacan dearg	
carry (v) (take physically, have with you, of vehicle)			iompair		
cartoon (n) (drawing, comic strip)			cartún		
case (n) (example, instance)			cás	sampla	
case (n) (patient, argument, crime, suitcase, book cover)			cás		
case (n) (particular situation)			cás	scéal	
case (n) (suitcase, legal matter)			cás	cúis	
cash (n) (money)			airgead tirim		
cash (v)			bris		
castle (n) (building, in chess)			caisleán		
cat (n)			cat		
catch (v) (field ball)			ceap	beir ar	gabh
catch (v) (somebody from falling, somebody escaping)			beir ar		
catch (v) (stop falling of liquid objects)			ceap	beir ar	bailigh
CD (n)			CD		
CD player (n) 			seinnteoir Cdanna		
ceiling (n) (of room)			síleáil		
ceiling (n) (upper limit)			uasteorainn		
cell phone (n) 			fón póca		
celebrate (v) 			ceiliúir	comóir	
celebrity (n) 					
cent (n)					
centre/center (n) 					
centimetre/centimeter (cm) (n) 					
century (n)					
cereal (n) 					
certainly (adv) 					
chain (n)					
I need a new bicycle chain. 					
chair (n)					
change (v & n)					
channel (n)					
character (n)					
chat (n) 					
chatroom (n) 					
cheap (adj) 					
check (v) 					
cheese (n) 					
chef (n)					
chemist (n) (Br Eng) (Am Eng: drugstore) 					
chemistry (n)					
cheque (n) 					
chess (n) 					
chicken (n) 					
child (n) 					
chilli (n) 					
chips (n pl)					
chocolate (n)					
choose (v) 					
cinema (n) 					
circle (n) 					
circus (n) 					
city (n) 					
class (n)					
classical (adj)					
classmate (n)					
classroom (n) 					
clean (adj & v) 					
cleaner (n) 					
clear (adj)					
clearly (adv)					
clever (adj)					
click (n & v)					
climb (v)					
climbing (n)					
clock (n)					
close (adj & v) 					
close to (prep phr) 					
closed (adj)					
closet (n) 					
clothes (n pl) 					
cloud (n) 					
cloudy (adj) 					
clown (n) 					
club (n)					
coach (n)					
coast (n) 					
coffee (n) 					
cola (n)					
cold (adj & n) 					
colleague (n) 					
collect (v) 					
college (n) 					
colour (n & v) 					
comb (n) 					
come (v) 					
come back (v)					
comedy (n) 					
comfortable (adj) 					
comic (n) 					
company (n)					
competition (n)					
complete (v) 					
computer (n) 					
concert (n)					
congratulations! (exclam)					
contact (n & v) 					
continue (v) 					
conversation (n) 					
cook (n & v) 					
cooker (n)					
cookie (n) (Am Eng) (Br Eng: biscuit) 					
cooking (n)					
cool (adj & exclam)					
copy (v)					
corner (n)					
cost (n & v)					
costume (n)					
could (mv)					
country (n)					
countryside (n)					
course (n)					
cousin (n)					
cover (v &n)					
cow (n)					
crazy (adj)					
cream (adj & n)					
credit card (n)					
cricket (n)					
cross (n & v)					
crossing (n)					
crowd (n)					
crowded (adj)					
cry (v)					
cup (n)					
cupboard (n) 					
curry (n) 					
curtain (n) 					
customer (n) 					
cut (v)					
cycle (v)					
cycling (n)					
